Postcode,Population
BN6  9,"8,716"
BN7  1,"8,670"
BN7  2,"8,333"
BN7  3,"4,187"
BN8  4,"5,969"
BN8  5,"6,121"
BN8  6,"4,220"
BN9  0,"3,931"
BN9  9,"9,546"
BR1  1,475
BR1  2,"11,771"
BR1  3,"12,689"
BR1  4,"14,203"
BR1  5,"17,193"
BR2  0,"11,719"
BR2  6,"2,332"
BR2  7,"9,093"
BR2  8,"10,727"
BR2  9,"10,969"
BR3  1,"8,987"
BR3  3,"13,060"
BR3  4,"12,874"
BR3  5,"6,772"
BR3  6,"5,631"
BR4  0,"9,058"
BR4  9,"9,928"
BR5  1,"11,828"
BR5  2,"12,838"
BR5  3,"10,607"
BR5  4,"10,439"
BR6  0,"9,444"
BR6  6,"6,647"
BR6  7,"7,890"
BR6  8,"8,225"
BR6  9,"14,622"
BR7  5,"6,610"
BR7  6,"10,690"
BR8  7,"14,884"
BR8  8,"7,088"
BS1  1,"1,210"
BS1  2,542
BS1  3,"2,366"
BS1  4,529
BS1  5,"3,157"
BS1  6,"4,187"
BS10 5,"9,500"
BS10 6,"10,223"
BS10 7,"7,882"
BS11 0,"9,574"
BS11 9,"7,780"
BS13 0,"7,542"
BS13 7,"8,316"
BS13 8,"7,339"
BS13 9,"6,388"
BS14 0,"8,866"
BS14 8,"7,765"
BS14 9,"11,524"
BS15 1,"11,936"
BS15 3,"8,812"
BS15 4,"11,104"
BS15 8,"7,373"
BS15 9,"8,102"
BS16 1,"12,172"
BS16 2,"9,075"
BS16 3,"6,854"
BS16 4,"9,181"
BS16 5,"9,998"
BS16 6,"10,598"
BS16 7,"7,880"
BS16 9,"10,150"
BS2  0,"2,919"
BS2  8,"5,953"
BS2  9,"6,727"
BS20 0,"4,828"
BS20 6,"7,966"
BS20 7,"11,362"
BS20 8,"5,847"
BS21 5,"4,861"
BS21 6,"8,926"
BS21 7,"9,496"
BS22 6,"7,979"
BS22 7,"10,339"
BS22 8,"10,599"
BS22 9,"8,525"
BS23 1,"4,940"
BS23 2,"9,195"
BS23 3,"12,214"
BS23 4,"7,647"
BS24 0,"2,039"
BS24 6,359
BS24 7,"8,306"
BS24 8,"2,166"
BS24 9,"5,971"
BS25 1,"4,616"
BS25 5,"1,616"
BS26 2,"5,127"
BS27 3,"7,081"
BS28 4,"3,318"
BS29 6,"2,919"
BS3  1,"8,891"
BS3  2,"6,065"
BS3  3,"6,157"
BS3  4,"7,639"
BS3  5,"8,009"
BS30 5,"5,040"
BS30 6,"3,509"
BS30 7,"3,666"
BS30 8,"10,295"
BS30 9,"7,850"
BS31 1,"7,446"
BS31 2,"8,481"
BS31 3,"4,073"
BS32 0,"7,373"
BS32 4,"4,380"
BS32 8,"8,354"
BS32 9,"4,651"
BS34 5,"8,122"
BS34 6,"6,295"
BS34 7,"7,057"
BS34 8,"8,316"
BS35 1,"6,608"
BS35 2,"6,436"
BS35 3,"3,058"
BS35 4,"4,888"
BS35 5,650
BS36 1,"6,242"
BS36 2,"9,201"
BS37 4,"8,102"
BS37 5,"7,723"
BS37 6,"8,025"
BS37 7,"6,952"
BS37 8,"6,452"
BS37 9,807
BS39 4,"2,593"
BS39 5,"4,563"
BS39 6,"3,005"
BS39 7,"5,302"
BS4  1,"12,962"
BS4  2,"9,948"
BS4  3,"8,856"
BS4  4,"12,382"
BS4  5,"3,811"
BS40 5,"4,496"
BS40 6,"2,249"
BS40 7,"1,571"
BS40 8,"3,833"
BS40 9,637
BS41 8,829
BS41 9,"5,254"
BS48 1,"5,537"
BS48 2,"6,848"
BS48 3,"5,537"
BS48 4,"5,486"
BS49 4,"8,454"
BS49 5,"3,497"
BS5  0,"8,743"
BS5  6,"13,181"
BS5  7,"10,919"
BS5  8,"9,587"
BS5  9,"9,913"
BS6  5,"10,728"
BS6  6,"12,944"
BS6  7,"10,009"
BS7  0,"15,411"
BS7  8,"10,257"
BS7  9,"15,265"
BS8  1,"4,869"
BS8  2,"7,248"
BS8  3,"5,193"
BS8  4,"8,792"
BS9  1,"8,381"
BS9  2,"6,600"
BS9  3,"8,540"
BS9  4,"7,432"
CA1  1,"2,218"
CA1  2,"11,104"
CA1  3,"10,938"
CA10 1,"5,757"
CA10 2,"3,286"
CA10 3,"4,580"
CA11 0,"4,416"
CA11 7,"3,561"
CA11 8,"7,907"
CA11 9,"6,475"
CA12 4,"4,758"
CA12 5,"3,268"
CA13 0,"8,597"
CA13 9,"6,409"
CA14 1,"8,434"
CA14 2,"5,050"
CA14 3,"8,500"
CA14 4,"6,518"
CA14 5,"7,297"
CA15 6,"4,469"
CA15 7,"6,771"
CA15 8,"4,978"
CA16 6,"6,175"
CA17 4,"4,873"
CA18 1,328
CA19 1,"1,069"
CA2  4,"10,325"
CA2  5,"7,578"
CA2  6,"9,233"
CA2  7,"12,299"
CA20 1,"3,355"
CA21 2,"1,017"
CA22 2,"8,887"
CA23 3,"1,424"
CA24 3,"1,266"
CA25 5,"6,183"
CA26 3,"3,868"
CA27 0,"1,644"
CA28 6,"9,888"
CA28 7,"2,798"
CA28 8,"8,811"
CA28 9,"7,095"
CA3  0,"6,066"
CA3  8,331
CA3  9,"7,618"
CA4  0,"3,198"
CA4  8,"5,631"
CA4  9,850
CA5  6,"3,815"
CA5  7,"3,299"
CA6  4,"4,197"
CA6  5,"3,336"
CA6  6,"1,561"
CA7  0,"1,710"
CA7  1,"1,448"
CA7  2,"2,690"
CA7  3,"2,941"
CA7  4,"4,087"
CA7  5,"1,933"
CA7  8,"1,893"
CA7  9,"5,831"
CA8  1,"4,745"
CA8  2,"1,912"
CA8  7,"1,431"
CA8  9,"2,226"
CA9  3,"2,088"
CB1  1,"3,643"
CB1  2,"7,603"
CB1  3,"18,497"
CB1  7,"4,396"
CB1  8,"5,656"
CB1  9,"9,443"
CB10 1,"4,610"
CB10 2,"8,887"
CB11 3,"9,635"
CB11 4,"8,412"
CB2  0,"1,173"
CB2  1,"7,559"
CB2  3,"2,283"
CB2  7,495
CB2  8,"3,875"
CB2  9,"3,153"
CB21 4,"8,505"
CB21 5,"5,556"
CB21 6,"1,565"
CB22 3,"7,765"
CB22 4,"4,311"
CB22 5,"7,617"
CB22 6,"1,232"
CB22 7,"3,100"
CB23 1,"2,656"
CB23 2,"1,961"
CB23 3,"3,452"
CB23 4,"1,081"
CB23 5,"2,337"
CB23 6,"5,849"
CB23 7,"8,509"
CB23 8,"5,040"
CB24 3,"4,184"
CB24 4,"3,319"
CB24 5,"6,877"
CB24 6,"4,251"
CB24 8,"6,543"
CB24 9,"7,866"
CB25 0,"8,216"
CB25 9,"10,048"
CB3  0,"8,737"
CB3  9,"7,533"
CB4  1,"15,887"
CB4  2,"14,379"
CB4  3,"11,632"
CB5  8,"11,036"
CB6  1,"12,422"
CB6  2,"11,941"
CB6  3,"14,012"
CB7  4,"8,619"
CB7  5,"17,997"
CB8  0,"9,676"
CB8  7,"6,488"
CB8  8,"9,159"
CB8  9,"7,918"
CB9  0,"8,371"
CB9  7,"9,770"
CB9  8,"6,076"
CB9  9,"8,654"
CH1  1,900
CH1  2,949
CH1  3,"3,633"
CH1  4,"6,733"
CH1  5,"13,407"
CH1  6,"4,938"
CH2  1,"9,382"
CH2  2,"7,705"
CH2  3,"9,639"
CH2  4,"7,595"
CH3  5,"12,255"
CH3  6,"4,832"
CH3  7,"6,872"
CH3  8,"3,991"
CH3  9,"4,060"
CH4  0,"10,233"
CH4  7,"7,050"
CH4  8,"11,474"
CH4  9,"3,540"
CH41 0,"3,637"
CH41 1,526
CH41 2,"2,943"
CH41 3,"1,286"
CH41 4,"2,994"
CH41 5,738
CH41 6,147
CH41 7,"2,241"
CH41 8,"2,528"
CH41 9,"1,627"
CH42 0,"2,712"
CH42 1,"3,342"
CH42 2,"2,209"
CH42 3,"2,641"
CH42 4,"3,930"
CH42 5,"3,073"
CH42 6,"4,402"
CH42 7,"2,307"
CH42 8,"2,521"
CH42 9,"3,919"
CH43 0,"5,411"
CH43 1,"2,750"
CH43 2,"4,378"
CH43 3,"2,596"
CH43 4,"2,866"
CH43 5,"3,573"
CH43 6,"1,718"
CH43 7,"5,742"
CH43 8,"1,730"
CH43 9,"8,152"
CH44 0,"3,111"
CH44 1,"2,764"
CH44 2,"2,766"
CH44 3,"2,470"
CH44 4,"4,346"
CH44 5,"3,069"
CH44 6,"2,581"
CH44 7,"1,807"
CH44 8,"3,180"
CH44 9,"3,820"
CH45 0,"1,675"
CH45 1,"2,787"
CH45 2,"2,531"
CH45 3,"2,549"
CH45 4,"3,881"
CH45 5,"4,846"
CH45 6,"2,509"
CH45 7,"3,467"
CH45 8,"4,498"
CH45 9,"2,112"
CH46 0,"3,699"
CH46 1,"2,755"
CH46 2,"2,699"
CH46 3,"1,835"
CH46 5,523
CH46 6,"5,372"
CH46 7,"2,665"
CH46 8,"3,033"
CH46 9,"2,899"
CH47 0,628
CH47 1,665
CH47 2,"2,103"
CH47 3,"2,305"
CH47 4,933
CH47 5,788
CH47 6,916
CH47 7,"1,244"
CH47 9,"1,327"
CH48 0,"1,764"
CH48 1,899
CH48 2,"1,367"
CH48 3,"1,381"
CH48 4,812
CH48 5,"2,694"
CH48 6,"2,089"
CH48 7,617
CH48 8,"1,301"
CH48 9,"2,282"
CH49 0,"1,747"
CH49 1,"2,453"
CH49 2,"3,664"
CH49 3,"3,294"
CH49 4,"5,099"
CH49 5,"1,557"
CH49 6,"4,085"
CH49 7,"2,287"
CH49 8,"2,699"
CH49 9,"1,892"
CH5  1,"8,576"
CH5  2,"7,286"
CH5  3,"9,889"
CH5  4,"16,774"
CH6  5,"13,187"
CH6  6,"3,931"
CH60 0,"1,280"
CH60 1,"1,892"
CH60 2,"1,510"
CH60 3,"1,018"
CH60 4,790
CH60 5,"1,928"
CH60 6,"1,267"
CH60 7,"1,215"
CH60 8,970
CH60 9,"1,214"
CH61 0,498
CH61 1,"1,220"
CH61 2,619
CH61 3,"1,576"
CH61 4,"2,867"
CH61 5,"2,599"
CH61 6,"2,406"
CH61 7,"1,923"
CH61 8,"2,154"
CH61 9,"1,728"
CH62 0,"1,094"
CH62 1,"3,131"
CH62 2,"3,535"
CH62 3,"1,162"
CH62 4,"1,890"
CH62 5,"2,331"
CH62 6,"3,919"
CH62 7,"3,453"
CH62 8,"4,862"
CH62 9,"3,355"
CH63 0,"4,629"
CH63 1,307
CH63 2,"5,002"
CH63 3,"4,382"
CH63 4,328
CH63 5,"4,120"
CH63 6,533
CH63 7,"3,936"
CH63 8,"2,977"
CH63 9,"4,383"
CH64 0,"2,874"
CH64 1,"1,428"
CH64 2,"1,197"
CH64 3,"1,997"
CH64 4,"2,756"
CH64 5,922
CH64 6,"2,928"
CH64 7,292
CH64 8,153
CH64 9,"4,374"
CH65 0,"1,176"
CH65 2,"2,588"
CH65 3,"1,138"
CH65 4,878
CH65 5,"3,385"
CH65 6,"3,195"
CH65 7,"3,659"
CH65 8,"4,688"
CH65 9,"5,664"
CH66 1,"6,055"
CH66 2,"12,803"
CH66 3,"6,076"
CH66 4,"8,583"
CH66 5,"1,004"
CH66 6,385
CH66 7,186
CH7  1,"10,058"
CH7  2,"9,549"
CH7  3,"6,249"
CH7  4,"6,061"
CH7  5,"6,640"
CH7  6,"11,509"
CH8  7,"9,138"
CH8  8,"6,200"
CH8  9,"5,341"
CM0  7,"8,332"
CM0  8,"7,671"
CM1  1,"3,582"
CM1  2,"15,985"
CM1  3,"8,527"
CM1  4,"13,114"
CM1  6,"13,344"
CM1  7,"8,310"
